projectTitle	administeringIc	applicationId	awardNoticeDate	foa	projectNumber	grantNumber	type	activity	ic	serialNumber	projectStartDate	projectEndDate	contactPiPersonId	contactPiProjectLeader	organizationName	organizationIdIpf
Using PCORnet to Expand the DS-CONNECT Cohort Through Healthcare System Recruitment; Incorporating Electronic Health Records; and Assessing Self-Determination	NICHD	9935628	2019-09-20	PA-18-591	3U54HD090216-04S1	HD090216	3	U54	HD	90216	2016-09-22	2021-05-31	6786915	COLOMBO, JOHN A.	UNIVERSITY OF KANSAS LAWRENCE	1484302
Waisman Intellectual and Developmental Disabilities Research Center Down Syndrome Registry	NICHD	9935566	2019-09-20	PA-18-591	3U54HD090256-04S1	HD090256	3	U54	HD	90256	2016-09-22	2021-05-31	9047161	CHANG, QIANG	UNIVERSITY OF WISCONSIN-MADISON	578503
University of Pittsburgh Clinical and Translational Science Institute	NCATS	9988649	2019-09-09	PAR-15-304	3UL1TR001857-04S1	TR001857	3	UL1	TR	1857	2016-07-12	2021-05-31	1916078	REIS, STEVEN E	UNIVERSITY OF PITTSBURGH AT PITTSBURGH	2059802
Clinical and Translational Science Award	NCATS	9932779	2019-09-17	PA-18-591	3UL1TR001873-04S1	TR001873	3	UL1	TR	1873	2016-07-01	2021-05-31	6205023	REILLY, MUREDACH P	COLUMBIA UNIVERSITY HEALTH SCIENCES	1833205
ITM 2.0: Advancing Translational Science in Metropolitan Chicago	NCATS	9928708	2019-09-16	PA-18-591	3UL1TR002389-03S1	TR002389	3	UL1	TR	2389	2017-09-06	2022-06-30	1876415	SOLWAY, JULIAN	UNIVERSITY OF CHICAGO	1413601
Colorado Clinical and Transational Sciences Institute	NCATS	9926512	2019-09-16	PA-18-591	3UL1TR002535-02S1	TR002535	3	UL1	TR	2535	2019-08-01	2020-04-30	1913722	SOKOL, RONALD J.	UNIVERSITY OF COLORADO DENVER	1199905
A Longitudinal MRI Study Characterizing Very Early Brain Development in Infants with Down Syndrome	NICHD	9789674	2019-08-19	PA-13-302	5R01HD088125-02	HD088125	5	R01	HD	88125	2018-09-20	2023-08-31	6519179	BOTTERON, KELLY N	WASHINGTON UNIVERSITY	9083901
Molecular Mechanisms of Defective Oligodendrocyte Differentiation in Down Syndrome	NINDS	10145425	2020-09-22	PA-19-195	1F31NS118968-01A1	NS118968	1	F31	NS	118968	2020-09-28	2022-08-27	15302567	KLEIN, JENNY ADELE	BOSTON UNIVERSITY MEDICAL CAMPUS	894901
Lifestyle and Alzheimer's Disease In Down Syndrome	NIA	10098587	2020-09-14	PA-19-056	1R01AG070028-01	AG070028	1	R01	AG	70028	2020-09-15	2025-08-31	10205633	HARTLEY, SIGAN L	UNIVERSITY OF WISCONSIN-MADISON	578503
Noradrenergic dysfunction in Down Syndrome	NIA	10108570	2020-09-14	RFA-OD-20-005	1R01AG070153-01	AG070153	1	R01	AG	70153	2020-09-15	2025-06-30	12668901	LEDREUX, AURÉLIE	UNIVERSITY OF DENVER (COLORADO SEMINARY)	2091901
Multiplexed Single Nucleus RNA and ATAC-seq Sequencing and Cortical Organoids: Transformative Insights into Down Syndrome	NIA	10108413	2020-09-14	RFA-OD-20-005	1R01AG070154-01	AG070154	1	R01	AG	70154	2020-09-15	2025-06-30	1863655	ROSENFELD, MICHAEL G	UNIVERSITY OF CALIFORNIA, SAN DIEGO	577507
Strategies for treatment of Down syndrome: Identifying age- and sex-specific developmental windows using inducible genetic reduction of Dyrk1a	NIAMS	10107377	2020-09-11	RFA-OD-20-005	1R01AR078663-01	AR078663	1	R01	AR	78663	2020-09-11	2025-06-30	2222174	ROPER, RANDALL J	INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	577806
Molecular epidemiology of acute lymphoblastic leukemia in children with Down syndrome	NCI	9960263	2020-08-03	PA-19-056	1R01CA249867-01	CA249867	1	R01	CA	249867	2020-08-03	2023-07-31	9346136	RABIN, KAREN R	BAYLOR COLLEGE OF MEDICINE	481201
Early Cognitive Decline in Down Syndrome	NICHD	9973927	"NA"	PA-19-056	1R01HD098179-01A1	HD098179	1	R01	HD	98179	"NA"	"NA"	1919988	CONNERS, FRANCES A	UNIVERSITY OF ALABAMA IN TUSCALOOSA	1288802
Preventing cognitive impairment in mouse genetic models of Down syndrome by early postnatal suppression of Kir3.2 channel signaling	NICHD	10051940	2020-08-24	PA-19-056	1R01HD100607-01A1	HD100607	1	R01	HD	100607	2020-09-01	2023-08-31	8366140	KLESCHEVNIKOV, ALEXANDER M	UNIVERSITY OF CALIFORNIA, SAN DIEGO	577507
Dissecting the role of FMRP in RNA processing using hPSC models	NICHD	10121018	2020-09-17	PA-19-056	1R01HD101534-01A1	HD101534	1	R01	HD	101534	2020-09-17	2024-08-31	8951200	BARRETT, LINDY ELISE	BROAD INSTITUTE, INC.	10021177
Down Syndrome as a systemic autophagy deficiency disorder	NICHD	10108636	2020-09-17	RFA-OD-20-005	1R01HD103828-01	HD103828	1	R01	HD	103828	2020-09-18	2024-09-17	1840039	THORBURN, ANDREW M	UNIVERSITY OF COLORADO DENVER	1199905
