doi	journal	pubMedId	pubMedUrl	publicationTitle	publicationYear	keywords	authors	grantNumber	gseAccns	gseUrls	srpAccns	srpUrls	dpgapAccns	dpgapUrls
10.1111/desc.12545	Dev Sci	28256036	https://www.ncbi.nlm.nih.gov/pubmed/?term=28256036	Neuroanatomical correlates of performance in a state-wide test of math achievement	2018	NA	Eric D Wilkey, Laurie E Cutting, Gavin R Price	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.dcn.2017.02.006	Dev Cogn Neurosci	28268177	https://www.ncbi.nlm.nih.gov/pubmed/?term=28268177	Prospective relations between resting-state connectivity of parietal subdivisions and arithmetic competence	2018	Angular gyrus; Arithmetic competence; Educational neuroscience; Intraparietal sulcus; Resting-state.	Gavin R Price, Darren J Yeo, Eric D Wilkey, Laurie E Cutting	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1111/cdev.12777	Child Dev	28295208	https://www.ncbi.nlm.nih.gov/pubmed/?term=28295208	"Naturalistic Language Recordings Reveal ""Hypervocal"" Infants at High Familial Risk for Autism"	2018	NA	Meghan R Swanson, Mark D Shen, Jason J Wolff, Brian Boyd, Mark Clements, James Rehg, Jed T Elison, Sarah Paterson, Julia Parish-Morris, J Chad Chappell, Heather C Hazlett, Robert W Emerson, Kelly Botteron, Juhi Pandey, Robert T Schultz, Stephen R Dager, Lonnie Zwaigenbaum, Annette M Estes, Joseph Piven, IBIS Network, D Shaw, R McKinstry, J Constantino, J Pruett, C Evans, L Llins, B Pike, V Fonov, P Kostopoulos, S Das, G Gerig, M Styner, H Gu	"[""HD055741""]"	NA	NA	NA	NA	NA	NA
10.1093/geront/gnw269	Gerontologist	28329847	https://www.ncbi.nlm.nih.gov/pubmed/?term=28329847	The Impact of the Great Recession on Midlife and Older parents of Individuals With a Mental Health Problem or a Developmental Disability	2018	NA	Jieun Song, Marsha R Mailick, Jan S Greenberg	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1080/09297049.2017.1307950	Child Neuropsychol	28349772	https://www.ncbi.nlm.nih.gov/pubmed/?term=28349772	Stress, coping, executive function, and brain activation in adolescent offspring of depressed and nondepressed mothers	2018	Chronic stress; adolescents; coping; executive function; prefrontal cortex.	Michelle M Reising, Alexandra H Bettis, Jennifer P Dunbar, Kelly H Watson, Meredith Gruhn, Kristen R Hoskinson, Bruce E Compas	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1080/14767058.2017.1315663	J Matern Fetal Neonatal Med	28372510	https://www.ncbi.nlm.nih.gov/pubmed/?term=28372510	Delayed cord clamping and inotrope use in preterm infants	2018	Delayed cord clamping; hypotension; inotropes; intraventricular hemorrhage; prematurity.	Zachary A Vesoulis, Janine Rhoades, Pournika Muniyandi, Shayna Conner, Alison G Cahill, Amit M Mathur	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1016/j.dcn.2017.03.002	Dev Cogn Neurosci	28372982	https://www.ncbi.nlm.nih.gov/pubmed/?term=28372982	Neural correlates of face processing in etiologically-distinct 12-month-old infants at high-risk of autism spectrum disorder	2018	Autism spectrum disorders; Event-related potentials; Face processing; Infancy.	Maggie W Guy, John E Richards, Bridgette L Tonnsen, Jane E Roberts	"[""MH090194""]"	NA	NA	NA	NA	NA	NA
10.1007/s10802-017-0300-y	J Abnorm Child Psychol	28393325	https://www.ncbi.nlm.nih.gov/pubmed/?term=28393325	Parent-Offspring Transmission of Internalizing and Sensory over-Responsivity Symptoms in Adolescence	2018	Adolescent; Anxiety; Parents; Sensory over-responsivity.	Carol A Van Hulle, Kathryn Lemery-Chalfant, H Hill Goldsmith	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1177/0271678X17701763	J Cereb Blood Flow Metab	28417646	https://www.ncbi.nlm.nih.gov/pubmed/?term=28417646	Cerebral hemodynamic assessment and neuroimaging across the lifespan in sickle cell disease	2018	Arterial spin labelling; brain imaging; cerebral hemodynamics; cognitive impairment; hematology; lacunar infarcts; stroke.	Lori C Jordan, Michael R DeBaun	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1519/JPT.0000000000000131	J Geriatr Phys Ther	28437317	https://www.ncbi.nlm.nih.gov/pubmed/?term=28437317	Dementia, Comorbidity, and Physical Function in the Program of All-Inclusive Care for the Elderly	2019	NA	Jason R Falvey, Allison M Gustavson, Lisa Price, Lucine Papazian, Jennifer E Stevens-Lapsley	"[""TR002535""]"	NA	NA	NA	NA	NA	NA
10.1037/xhp0000424	J Exp Psychol Hum Percept Perform	28447850	https://www.ncbi.nlm.nih.gov/pubmed/?term=28447850	Links between temporal acuity and multisensory integration across life span	2018	NA	Ryan A Stevenson, Sarah H Baum, Juliane Krueger, Paul A Newhouse, Mark T Wallace	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1038/mp.2017.81	Mol Psychiatry	28461698	https://www.ncbi.nlm.nih.gov/pubmed/?term=28461698	Genetic risk for schizophrenia and psychosis in Alzheimer disease	2018	NA	M A A DeMichele-Sweet, E A Weamer, L Klei, D T Vrana, D J Hollingshead, H J Seltman, R Sims, T Foroud, I Hernandez, S Moreno-Grau, L Tárraga, M Boada, A Ruiz, J Williams, R Mayeux, O L Lopez, E L Sibille, M I Kamboh, B Devlin, R A Sweet	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.1093/pm/pnx084	Pain Med	28505337	https://www.ncbi.nlm.nih.gov/pubmed/?term=28505337	Sex Differences in Brain Regions Modulating Pain Among Older Adults: A Cross-Sectional Resting State Functional Connectivity Study	2018	NA	Todd B Monroe, Roger B Fillingim, Stephen P Bruehl, Baxter P Rogers, Mary S Dietrich, John C Gore, Sebastian W Atalla, Ronald L Cowan	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1177/0271678X17708690	J Cereb Blood Flow Metab	28534661	https://www.ncbi.nlm.nih.gov/pubmed/?term=28534661	Characterization of human fetal brain endothelial cells reveals barrier properties suitable for in vitro modeling of the BBB with syngenic co-cultures	2018	BBB model; Blood–brain barrier; human fetal brain endothelial cells; syngenic.	Allison M Andrews, Evan M Lutton, Lee A Cannella, Nancy Reichenbach, Roshanak Razmpour, Matthew J Seasock, Steven J Kaspin, Steven F Merkel, Dianne Langford, Yuri Persidsky, Servio H Ramirez	"[""HD000836""]"	NA	NA	NA	NA	NA	NA
10.1002/mrm.26756	Magn Reson Med	28547862	https://www.ncbi.nlm.nih.gov/pubmed/?term=28547862	MRI evaluation of regional and longitudinal changes in Z-spectra of injured spinal cord of monkeys	2018	9.4T; Lorentzian band fitting; MRI; chemical exchange saturation transfer (CEST); magnetization transfer (MT); multiple proton pools; nuclear Overhauser enhancement (NOE); spinal cord injury.	Feng Wang, Zhongliang Zu, Ruiqi Wu, Tung-Lin Wu, John C Gore, Li Min Chen	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1089/ten.TEB.2017.0127	Tissue Eng Part B Rev	28548628	https://www.ncbi.nlm.nih.gov/pubmed/?term=28548628	Endothelial Progenitor Cells for the Vascularization of Engineered Tissues	2018	angiogenesis; endothelial progenitor cells; vascularization; vasculogenesis.	Erica B Peters	"[""HL007670""]"	NA	NA	NA	NA	NA	NA
10.1111/cdev.12848	Child Dev	28548711	https://www.ncbi.nlm.nih.gov/pubmed/?term=28548711	Sequential Associations Between Caregiver Talk and Child Play in Autism Spectrum Disorder and Typical Development	2018	NA	Kristen Bottema-Beutel, Caitlin Malloy, Blair P Lloyd, Rebecca Louick, Linnea Joffe-Nelson, Linda R Watson, Paul J Yoder	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1002/gps.4709	Int J Geriatr Psychiatry	28560728	https://www.ncbi.nlm.nih.gov/pubmed/?term=28560728	Decreasing hazards of Alzheimer's disease with the use of antidepressants: mitigating the risk of depression and apolipoprotein E	2018	Alzheimer's disease; antidepressants; apolipoprotein E; depression.	Shanna L Burke, Peter Maramaldi, Tamara Cadet, Walter Kukull	"[""AG016976""]"	NA	NA	NA	NA	NA	NA
10.1002/jmri.25777	J Magn Reson Imaging	28580758	https://www.ncbi.nlm.nih.gov/pubmed/?term=28580758	Nuclei-specific deposits of iron and calcium in the rat thalamus after status epilepticus revealed with quantitative susceptibility mapping (QSM)	2018	R2*; brain; calcification; epilepsy; iron; lesions; quantitative susceptibility mapping.	Manisha Aggarwal, Xu Li, Olli Gröhn, Alejandra Sierra	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1177/0022219417712016	J Learn Disabil	28597728	https://www.ncbi.nlm.nih.gov/pubmed/?term=28597728	Theorization and an Empirical Investigation of the Component-Based and Developmental Text Writing Fluency Construct	2018	CBM writing; curriculum-based measures of writing; text writing fluency; writing fluency; writing quality.	Young-Suk Grace Kim, Brandy Gatlin, Stephanie Al Otaiba, Jeanne Wanzek	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1007/s11682-017-9732-9	Brain Imaging Behav	28600739	https://www.ncbi.nlm.nih.gov/pubmed/?term=28600739	Association of longitudinal white matter degeneration and cerebrospinal fluid biomarkers of neurodegeneration, inflammation and Alzheimer's disease in late-middle-aged adults	2019	Biomarkers; Cerebrospinal fluid; Linear mixed effects; Longitudinal; Preclinical Alzheimer’s disease; White matter.	Annie M Racine, Andrew P Merluzzi, Nagesh Adluru, Derek Norton, Rebecca L Koscik, Lindsay R Clark, Sara E Berman, Christopher R Nicholas, Sanjay Asthana, Andrew L Alexander, Kaj Blennow, Henrik Zetterberg, Won Hwa Kim, Vikas Singh, Cynthia M Carlsson, Barbara B Bendlin, Sterling C Johnson	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1097/BPB.0000000000000473	J Pediatr Orthop B	28628580	https://www.ncbi.nlm.nih.gov/pubmed/?term=28628580	Scoliosis severity does not impact the risk of scoliosis in family members	2018	NA	Samuel B Rudnick, Hannah Zabriskie, Justin Ho, Christina A Gurnett, Matthew B Dobbs	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1007/s10803-017-3202-5	J Autism Dev Disord	28634707	https://www.ncbi.nlm.nih.gov/pubmed/?term=28634707	Parent Support of Preschool Peer Relationships in Younger Siblings of Children with Autism Spectrum Disorder	2018	Autism; High risk; Parent; Peer relations; Preschool; Sibling.	Annette Estes, Jeffrey Munson, Tanya St John, Stephen R Dager, Amy Rodda, Kelly Botteron, Heather Hazlett, Robert T Schultz, Lonnie Zwaigenbaum, Joseph Piven, Michael J Guralnick, IBIS network, J Piven, H C Hazlett, J C Chappell, S Dager, A Estes, D Shaw, K Botteron, R McKinstry, J Constantino, J Pruett, R Schultz, S Paterson, L Zwaigenbaum, A C Evans, D L Collins, G B Pike, P Kostopolous, S Das, G Gerig, M Styner, H Gu, P Sullivan, F Wright	"[""HD055741"", ""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1002/lary.26714	Laryngoscope	28643327	https://www.ncbi.nlm.nih.gov/pubmed/?term=28643327	Predictive factors for short- and long-term hearing preservation in cochlear implantation with conventional-length electrodes	2018	Cochlear implant; electrode design; hearing preservation; surgical approach.	George B Wanna, Brendan P O'Connell, David O Francis, Rene H Gifford, Jacob B Hunter, Jourdan T Holder, Marc L Bennett, Alejandro Rivas, Robert F Labadie, David S Haynes	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1038/leu.2017.207	Leukemia	28663582	https://www.ncbi.nlm.nih.gov/pubmed/?term=28663582	BET protein proteolysis targeting chimera (PROTAC) exerts potent lethal activity against mantle cell lymphoma cells	2018	NA	B Sun, W Fiskus, Y Qian, K Rajapakshe, K Raina, K G Coleman, A P Crew, A Shen, D T Saenz, C P Mill, A J Nowak, N Jain, L Zhang, M Wang, J D Khoury, C Coarfa, C M Crews, K N Bhalla	"[""CA125123""]"	"[""GSE98268""]"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98268	"[""SRP105325""]"	https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP105325	NA	NA
10.1177/1362361317703090	Autism	28666391	https://www.ncbi.nlm.nih.gov/pubmed/?term=28666391	The combined impact of social support and perceived stress on quality of life in adults with autism spectrum disorder and without intellectual disability	2018	Asperger’s; autism spectrum disorder; friendship; high-functioning autism; intervention; quality of life; social inclusion; stress.	Lauren Bishop-Fitzpatrick, Carla A Mazefsky, Shaun M Eack	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1016/j.neuroimage.2017.07.003	Neuroimage	28684332	https://www.ncbi.nlm.nih.gov/pubmed/?term=28684332	Spinal cord MRI at 7T	2018	NA	Robert L Barry, S Johanna Vannesjo, Samantha By, John C Gore, Seth A Smith	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1177/1971400917710251	Neuroradiol J	28685649	https://www.ncbi.nlm.nih.gov/pubmed/?term=28685649	Misdiagnosis: CNS Erdheim-Chester disease mimicking CLIPPERS	2018	CLIPPERS; Erdheim–Chester disease; central nervous system imaging.	Jillian Berkman, Caleb Ford, Emily Johnson, Beth A Malow, Joseph M Aulino	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1177/1362361317703760	Autism	28691500	https://www.ncbi.nlm.nih.gov/pubmed/?term=28691500	Factors associated with sustained community employment among adults with autism and co-occurring intellectual disability	2018	adaptive living skills; adult; autism spectrum disorders; employment; intellectual disability; personal care.	Wai Chan, Leann E Smith, Jinkuk Hong, Jan S Greenberg, Julie Lounds Taylor, Marsha R Mailick	"[""HD090256""]"	NA	NA	NA	NA	NA	NA
10.1080/17518423.2017.1338777	Dev Neurorehabil	28692408	https://www.ncbi.nlm.nih.gov/pubmed/?term=28692408	Preliminary findings of altered functional connectivity of the default mode network linked to functional outcomes one year after pediatric traumatic brain injury	2018	Functional neuroimaging; mild traumatic brain injury; moderate traumatic brain injury; neural networks; response inhibition.	Jaclyn A Stephens, Cynthia F Salorio, Anita D Barber, Sarah R Risen, Stewart H Mostofsky, Stacy J Suskauer	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1016/j.freeradbiomed.2017.07.009	Free Radic Biol Med	28705658	https://www.ncbi.nlm.nih.gov/pubmed/?term=28705658	Disturbance of redox homeostasis in Down Syndrome: Role of iron dysmetabolism	2018	Iron; Oxidative stress; Protein oxidation; Redox proteomics; Trisomy 21.	Eugenio Barone, Andrea Arena, Elizabeth Head, D Allan Butterfield, Marzia Perluigi	"[""HD064993""]"	NA	NA	NA	NA	NA	NA
10.1016/j.neuropharm.2017.07.013	Neuropharmacology	28729220	https://www.ncbi.nlm.nih.gov/pubmed/?term=28729220	Cognitive enhancement and antipsychotic-like activity following repeated dosing with the selective M 4 PAM VU0467154	2018	Antipsychotic-like activity; Cognitive enhancement; M(4) muscarinic acetylcholine receptor; MK-801; Positive allosteric modulator; VU0467154.	Robert W Gould, Michael D Grannan, Barak W Gunter, Jacob Ball, Michael Bubser, Thomas M Bridges, Jurgen Wess, Michael W Wood, Nicholas J Brandon, Mark E Duggan, Colleen M Niswender, Craig W Lindsley, P Jeffrey Conn, Carrie K Jones	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.neuint.2017.07.008	Neurochem Int	28732770	https://www.ncbi.nlm.nih.gov/pubmed/?term=28732770	Pharmacologic modeling of primary mitochondrial respiratory chain dysfunction in zebrafish	2018	Chloramphenicol (PubChem CID: 5959); Complex I; Complex IV; Complex V; D. rerio; Mitochondrial translation; Mitotracker green FM (PubChem CID: 59705974); Oligomycin (PubChem CID: 16760598); Probucol (PubChem CID: 4912); Rotenone (PubChem CID: 6758); Sodium azide (PubChem CID: 33557); TMRE (PubChem CID: 2762682).	James Byrnes, Rebecca Ganetzky, Richard Lightfoot, Michael Tzeng, Eiko Nakamaru-Ogiso, Christoph Seiler, Marni J Falk	"[""GM120762""]"	NA	NA	NA	NA	NA	NA
10.1002/jmri.25813	J Magn Reson Imaging	28734060	https://www.ncbi.nlm.nih.gov/pubmed/?term=28734060	Effects of eddy currents on selective spectral editing experiments at 3T	2018	GABA; MEGA-PRESS; eddy currents; edited MRS; macromolecules; offset.	Georg Oeltzschner, Karim Snoussi, Nicolaas A Puts, Mark Mikkelsen, Ashley D Harris, Subechhya Pradhan, Kyrana Tsapkini, Michael Schär, Peter B Barker, Richard A E Edden	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1038/npp.2017.162	Neuropsychopharmacology	28745306	https://www.ncbi.nlm.nih.gov/pubmed/?term=28745306	Integrating Endocannabinoid Signaling and Cannabinoids into the Biology and Treatment of Posttraumatic Stress Disorder	2018	NA	Matthew N Hill, Patrizia Campolongo, Rachel Yehuda, Sachin Patel	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.euf.2017.04.005	Eur Urol Focus	28753886	https://www.ncbi.nlm.nih.gov/pubmed/?term=28753886	Distinct Lipidomic Landscapes Associated with Clinical Stages of Urothelial Cancer of the Bladder	2018	Lymphovascular invasion; Phosphatidylserine synthase; Phospholipids; Triglycerides.	Danthasinghe Waduge Badrajee Piyarathna, Thekkelnaycke M Rajendiran, Vasanta Putluri, Venkatrao Vantaku, Tanu Soni, Friedrich-Carl von Rundstedt, Sri Ramya Donepudi, Feng Jin, Suman Maity, Chandrashekar R Ambati, Jianrong Dong, Daniel Gödde, Stephan Roth, Stephan Störkel, Stephan Degener, George Michailidis, Seth P Lerner, Subramaniam Pennathur, Yair Lotan, Cristian Coarfa, Arun Sreekumar, Nagireddy Putluri	"[""CA125123""]"	NA	NA	NA	NA	NA	NA
10.1080/09297049.2017.1359525	Child Neuropsychol	28768457	https://www.ncbi.nlm.nih.gov/pubmed/?term=28768457	Greater delay discounting among girls, but not boys, with ADHD correlates with cognitive control	2018	ADHD; cognitive control; decision-making; delay discounting; executive function.	Connor H G Patros, Kristie L Sweeney, E Mark Mahone, Stewart H Mostofsky, Keri S Rosch	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1176/appi.ajp.2017.17010018	Am J Psychiatry	28774192	https://www.ncbi.nlm.nih.gov/pubmed/?term=28774192	Cortical Functional Connectivity Evident After Birth and Behavioral Inhibition at Age 2	2018	Anxiety; Behavioral Inhibition; Biological Markers; Default Mode Network; Infant; Ventral Attention Network.	Chad M Sylvester, Christopher D Smyser, Tara Smyser, Jeanette Kenley, Joseph J Ackerman Jr, Joshua S Shimony, Steve E Petersen, Cynthia E Rogers	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1097/BPB.0000000000000489	J Pediatr Orthop B	28777161	https://www.ncbi.nlm.nih.gov/pubmed/?term=28777161	Lack of joint hypermobility increases the risk of surgery in adolescent idiopathic scoliosis	2018	NA	Gabe Haller, Hannah Zabriskie, Shelby Spehar, Timothy Kuensting, Xavier Bledsoe, Ali Syed, Christina A Gurnett, Matthew B Dobbs	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1080/09546634.2017.1365113	J Dermatolog Treat	28782389	https://www.ncbi.nlm.nih.gov/pubmed/?term=28782389	The effect of phototherapy on progression to tumors in patients with patch and plaque stage of mycosis fungoides	2018	Mycosis fungoides; NB UVB; PUVA; cutaneous T-cell lymphoma; phototherapy; rate of progression; tumor stage.	Joyce W Hoot, Li Wang, Terry Kho, Oleg E Akilov	"[""TR001857""]"	NA	NA	NA	NA	NA	NA
10.1097/TA.0000000000001671	J Trauma Acute Care Surg	28787376	https://www.ncbi.nlm.nih.gov/pubmed/?term=28787376	Long-term evaluation of a hospital-based violence intervention program using a regional health information exchange	2018	NA	Teresa M Bell, Dannielle Gilyan, Brian A Moore, Joel Martin, Blessing Ogbemudia, Briana E McLaughlin, Reilin Moore, Clark J Simons, Ben L Zarzaur	"[""TR002530""]"	NA	NA	NA	NA	NA	NA
10.1016/j.freeradbiomed.2017.08.009	Free Radic Biol Med	28807816	https://www.ncbi.nlm.nih.gov/pubmed/?term=28807816	mTOR in Down syndrome: Role in Aß and tau neuropathology and transition to Alzheimer disease-like dementia	2018	Amyloid β-peptide; Down syndrome; Neurofibrillary tangles; Oxidative stress; Senile plaques; mTOR.	Fabio Di Domenico, Antonella Tramutola, Cesira Foppoli, Elizabeth Head, Marzia Perluigi, D Allan Butterfield	"[""HD064993""]"	NA	NA	NA	NA	NA	NA
10.1038/mi.2017.55	Mucosal Immunol	28812548	https://www.ncbi.nlm.nih.gov/pubmed/?term=28812548	Bacteroidales recruit IL-6-producing intraepithelial lymphocytes in the colon to promote barrier integrity	2018	NA	K A Kuhn, H M Schulz, E H Regner, E L Severs, J D Hendrickson, G Mehta, A K Whitney, D Ir, N Ohri, C E Robertson, D N Frank, E L Campbell, S P Colgan	"[""AR007534""]"	NA	NA	NA	NA	NA	NA
10.1177/0271678X17721830	J Cereb Blood Flow Metab	28816594	https://www.ncbi.nlm.nih.gov/pubmed/?term=28816594	Consensus statement on current and emerging methods for the diagnosis and evaluation of cerebrovascular disease	2018	Stroke; cerebrovascular disease; hemodynamics; imaging; metabolism.	Manus J Donahue, Eric Achten, Petrice M Cogswell, Frank-Erik De Leeuw, Colin P Derdeyn, Rick M Dijkhuizen, Audrey P Fan, Rashid Ghaznawi, Jeremy J Heit, M Arfan Ikram, Peter Jezzard, Lori C Jordan, Eric Jouvent, Linda Knutsson, Richard Leigh, David S Liebeskind, Weili Lin, Thomas W Okell, Adnan I Qureshi, Charlotte J Stagg, Matthias Jp van Osch, Peter Cm van Zijl, Jennifer M Watchmaker, Max Wintermark, Ona Wu, Greg Zaharchuk, Jinyuan Zhou, Jeroen Hendrikse	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1007/s12311-017-0879-0	Cerebellum	28840476	https://www.ncbi.nlm.nih.gov/pubmed/?term=28840476	Making Sense of Cerebellar Contributions to Perceptual and Motor Adaptation	2018	Ataxia; Cerebellum; Locomotion; Perception.	Matthew A Statton, Alejandro Vazquez, Susanne M Morton, Erin V L Vasudevan, Amy J Bastian	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1002/aur.1853	Autism Res	28842941	https://www.ncbi.nlm.nih.gov/pubmed/?term=28842941	Characterization of early communicative behavior in mouse models of neurofibromatosis type 1	2018	autism; communication; mouse; neurofibromatosis type 1; ultrasonic vocalization.	Susan E Maloney, Krystal C Chandler, Corina Anastasaki, Michael A Rieger, David H Gutmann, Joseph D Dougherty	"[""HD087011""]"	NA	NA	NA	NA	NA	NA
10.1016/j.freeradbiomed.2017.08.019	Free Radic Biol Med	28843780	https://www.ncbi.nlm.nih.gov/pubmed/?term=28843780	Epidemiology of estrogen and dementia in women with Down syndrome	2018	Dementia; Down syndrome; Epidemiology; Estrogen; Polymorphisms.	Nicole Schupf, Joseph H Lee, Deborah Pang, Warren B Zigman, Benjamin Tycko, Sharon Krinsky-McHale, Wayne Silverman	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1165/rcmb.2016-0223OC	Am J Respir Cell Mol Biol	28846437	https://www.ncbi.nlm.nih.gov/pubmed/?term=28846437	Oxygen Administration Improves Survival but Worsens Cardiopulmonary Functions in Chlorine-exposed Rats	2018	chlorine gas; hypoxemia; oxygen; respiratory distress; seizure.	Obiefuna C Okponyia, Matthew D McGraw, Marilyn M Dysart, Rhonda B Garlick, Jacqueline S Rioux, Angela L Murphy, Gates B Roe, Carl W White, Livia A Veress	"[""HL007670""]"	NA	NA	NA	NA	NA	NA
